0.000000	0.000000	-5000.000000	0.000000	5000.000000	0.000000	0.000000	-5000.000000	0.000000	5000.000000	
-0.000000	-0.000000	-4999.997070	-2.000000	4999.997070	2.000000	2.000000	-4999.997070	-2.000000	4999.997070	
-0.000000	-0.000000	-4999.992188	-3.999999	4999.992188	3.999999	3.999999	-4999.992188	-3.999999	4999.992188	
-0.000000	-0.000000	-4999.985352	-5.999995	4999.985352	5.999995	5.999995	-4999.985352	-5.999995	4999.985352	
-0.000000	-0.000000	-4999.976562	-7.999989	4999.976562	7.999989	7.999989	-4999.976562	-7.999989	4999.976562	
-0.000000	-0.000000	-4999.965332	-9.999979	4999.965332	9.999979	9.999979	-4999.965332	-9.999979	4999.965332	
-0.000000	-0.000000	-4999.952148	-11.999965	4999.952148	11.999965	11.999965	-4999.952148	-11.999965	4999.952148	
-0.000000	-0.000000	-4999.937012	-13.999945	4999.937012	13.999945	13.999945	-4999.937012	-13.999945	4999.937012	
-0.000000	-0.000000	-4999.919922	-15.999919	4999.919922	15.999919	15.999919	-4999.919922	-15.999919	4999.919922	
-0.000000	-0.000000	-4999.900879	-17.999886	4999.900879	17.999886	17.999886	-4999.900879	-17.999886	4999.900879	
-0.000000	-0.000000	-4999.879883	-19.999846	4999.879883	19.999846	19.999846	-4999.879883	-19.999846	4999.879883	
-0.000000	-0.000000	-4999.856934	-21.999798	4999.856934	21.999798	21.999798	-4999.856934	-21.999798	4999.856934	
-0.000000	-0.000000	-4999.832031	-23.999741	4999.832031	23.999741	23.999741	-4999.832031	-23.999741	4999.832031	
-0.000000	-0.000000	-4999.805176	-25.999672	4999.805176	25.999672	25.999672	-4999.805176	-25.999672	4999.805176	
0.000000	-0.000000	-4999.776367	-27.999594	4999.776367	27.999594	27.999594	-4999.776367	-27.999594	4999.776367	
0.000000	-0.000000	-4999.745117	-29.999504	4999.745117	29.999504	29.999504	-4999.745117	-29.999504	4999.745117	
0.000000	-0.000000	-4999.711914	-31.999403	4999.711914	31.999403	31.999403	-4999.711914	-31.999403	4999.711914	
0.000000	-0.000000	-4999.676758	-33.999287	4999.676758	33.999287	33.999287	-4999.676758	-33.999287	4999.676758	
0.000000	-0.000000	-4999.639648	-35.999157	4999.639648	35.999157	35.999157	-4999.639648	-35.999157	4999.639648	
0.000000	-0.000000	-4999.600586	-37.999012	4999.600586	37.999012	37.999012	-4999.600586	-37.999012	4999.600586	
0.000000	-0.000000	-4999.559570	-39.998852	4999.559570	39.998852	39.998852	-4999.559570	-39.998852	4999.559570	
0.000000	-0.000000	-4999.516602	-41.998676	4999.516602	41.998676	41.998676	-4999.516602	-41.998676	4999.516602	
0.000000	-0.000000	-4999.471680	-43.998482	4999.471680	43.998482	43.998482	-4999.471680	-43.998482	4999.471680	
0.000000	-0.000000	-4999.424805	-45.998272	4999.424805	45.998272	45.998272	-4999.424805	-45.998272	4999.424805	
0.000000	-0.000000	-4999.375977	-47.998043	4999.375977	47.998043	47.998043	-4999.375977	-47.998043	4999.375977	
0.000000	-0.000000	-4999.324707	-49.997791	4999.324707	49.997791	49.997791	-4999.324707	-49.997791	4999.324707	
-0.000000	-0.000000	-4999.271484	-51.997520	4999.271484	51.997520	51.997520	-4999.271484	-51.997520	4999.271484	
-0.000000	-0.000000	-4999.216309	-53.997227	4999.216309	53.997227	53.997227	-4999.216309	-53.997227	4999.216309	
-0.000000	-0.000000	-4999.159180	-55.996914	4999.159180	55.996914	55.996914	-4999.159180	-55.996914	4999.159180	
-0.000000	-0.000000	-4999.100098	-57.996578	4999.100098	57.996578	57.996578	-4999.100098	-57.996578	4999.100098	
-0.000000	-0.000000	-4999.039062	-59.996220	4999.039062	59.996220	59.996220	-4999.039062	-59.996220	4999.039062	
-0.000000	-0.000000	-4998.976074	-61.995834	4998.976074	61.995834	61.995834	-4998.976074	-61.995834	4998.976074	
-0.000000	-0.000000	-4998.911133	-63.995426	4998.911133	63.995426	63.995426	-4998.911133	-63.995426	4998.911133	
-0.000000	-0.000000	-4998.844238	-65.994987	4998.844238	65.994987	65.994987	-4998.844238	-65.994987	4998.844238	
-0.000000	-0.000000	-4998.775391	-67.994522	4998.775391	67.994522	67.994522	-4998.775391	-67.994522	4998.775391	
-0.000000	-0.000000	-4998.704102	-69.994034	4998.704102	69.994034	69.994034	-4998.704102	-69.994034	4998.704102	
-0.000000	-0.000000	-4998.630859	-71.993515	4998.630859	71.993515	71.993515	-4998.630859	-71.993515	4998.630859	
-0.000000	-0.000000	-4998.555664	-73.992966	4998.555664	73.992966	73.992966	-4998.555664	-73.992966	4998.555664	
-0.000000	-0.000000	-4998.478516	-75.992386	4998.478516	75.992386	75.992386	-4998.478516	-75.992386	4998.478516	
-0.000000	-0.000000	-4998.399414	-77.991776	4998.399414	77.991776	77.991776	-4998.399414	-77.991776	4998.399414	
-0.000000	-0.000000	-4998.318359	-79.991135	4998.318359	79.991135	79.991135	-4998.318359	-79.991135	4998.318359	
-0.000000	-0.000000	-4998.235352	-81.990463	4998.235352	81.990463	81.990463	-4998.235352	-81.990463	4998.235352	
-0.000000	-0.000000	-4998.150391	-83.989761	4998.150391	83.989761	83.989761	-4998.150391	-83.989761	4998.150391	
-0.000000	-0.000000	-4998.063477	-85.989021	4998.063477	85.989021	85.989021	-4998.063477	-85.989021	4998.063477	
-0.000000	-0.000000	-4997.974609	-87.988251	4997.974609	87.988251	87.988251	-4997.974609	-87.988251	4997.974609	
-0.000000	-0.000000	-4997.883301	-89.987442	4997.883301	89.987442	89.987442	-4997.883301	-89.987442	4997.883301	
